"","dateCrawled","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","model","kilometer","monthOfRegistration","fuelType","brand","notRepairedDamage","dateCreated","postalCode","lastSeen"
"73","3/7/2016 8:55",2300,1,NA,1997,0,150,"5er",150000,3,"",30,0,"3/7/2016 0:00",79341,"3/22/2016 5:15"
"81","3/11/2016 23:42",20300,0,8,2010,1,204,"e_klasse",80000,12,"1",37,0,"3/11/2016 0:00",51491,"4/3/2016 1:26"
"83","4/1/2016 22:39",250,0,6,2000,0,155,"156",150000,0,"0",15,1,"4/1/2016 0:00",8396,"4/5/2016 20:18"
"86","3/23/2016 18:59",3300,0,6,2005,0,150,"c_klasse",150000,9,"1",37,1,"3/23/2016 0:00",29221,"3/23/2016 18:59"
"102","3/11/2016 19:00",4290,0,5,2008,0,0,"combo",150000,2,"1",38,0,"3/11/2016 0:00",23568,"4/5/2016 22:45"
"106","4/1/2016 9:54",6500,0,8,2004,0,163,"a4",150000,4,"1",36,NA,"4/1/2016 0:00",97450,"4/1/2016 9:54"
"111","3/23/2016 10:59",1300,1,6,1997,0,101,"passat",150000,10,"0",40,0,"3/23/2016 0:00",4277,"3/29/2016 4:46"
"117","3/14/2016 20:37",5900,1,6,2005,1,178,"a6",150000,1,"1",36,0,"3/14/2016 0:00",88131,"4/6/2016 7:17"
"135","3/20/2016 18:47",3390,0,NA,2000,NA,0,"3er",150000,2,"",30,NA,"3/20/2016 0:00",45739,"3/28/2016 19:48"
"162","3/10/2016 16:57",6890,1,8,2003,0,170,"c_klasse",125000,2,"1",37,0,"3/10/2016 0:00",55743,"4/1/2016 20:47"
"166","3/19/2016 19:49",500,1,7,1999,0,0,"",150000,0,"0",34,0,"3/19/2016 0:00",26969,"4/1/2016 11:17"
"169","4/4/2016 12:57",1200,1,NA,2018,0,75,"astra",150000,0,"",38,0,"4/4/2016 0:00",15344,"4/6/2016 14:45"
"173","3/28/2016 1:36",1500,0,8,2000,0,75,"civic",125000,11,"0",19,0,"3/28/2016 0:00",12163,"4/2/2016 11:47"
"176","3/19/2016 13:36",11890,0,5,2011,0,116,"c_max",150000,4,"1",35,0,"3/19/2016 0:00",97737,"4/6/2016 18:48"
"180","3/18/2016 12:39",1990,1,7,2003,0,80,"fiesta",125000,4,"0",35,0,"3/18/2016 0:00",13469,"3/18/2016 12:39"
"187","3/21/2016 14:43",3000,1,NA,2016,1,75,"fabia",150000,0,"0",30,NA,"3/21/2016 0:00",24782,"3/31/2016 17:45"
"189","3/21/2016 19:06",5999,0,7,2009,0,80,"polo",125000,5,"0",40,0,"3/21/2016 0:00",65529,"4/5/2016 20:47"
"191","3/10/2016 23:55",8999,0,5,2007,0,105,"touran",90000,2,"1",40,0,"3/10/2016 0:00",26689,"3/17/2016 9:16"
"192","3/16/2016 15:51",14000,0,8,2008,NA,235,"",150000,0,"",30,0,"2/12/2016 0:00",95131,"4/7/2016 14:56"
"197","3/8/2016 21:52",11299,1,8,2006,1,250,"golf",150000,8,"0",40,0,"3/8/2016 0:00",22083,"3/19/2016 9:46"
"209","3/30/2016 16:39",1600,0,8,1996,1,0,"7er",150000,5,"0",30,0,"3/30/2016 0:00",12057,"4/1/2016 10:45"
"210","4/1/2016 18:45",12999,1,6,2008,1,179,"a6",150000,8,"1",36,0,"4/1/2016 0:00",25551,"4/5/2016 14:18"
"213","3/27/2016 23:48",12899,0,6,2009,1,140,"a3",150000,9,"1",36,0,"3/27/2016 0:00",51109,"4/6/2016 2:15"
"216","4/2/2016 10:51",8500,0,8,2010,0,80,"golf",50000,3,"0",40,0,"4/2/2016 0:00",34385,"4/2/2016 10:51"
"218","3/17/2016 13:47",500,1,7,1994,0,75,"golf",150000,3,"0",40,0,"3/17/2016 0:00",23879,"3/28/2016 14:45"
"230","3/16/2016 11:46",4650,0,6,2005,1,150,"c_klasse",150000,8,"1",37,NA,"3/16/2016 0:00",12109,"3/20/2016 9:44"
"232","3/23/2016 16:51",900,0,NA,2017,0,60,"corsa",150000,0,"0",38,0,"3/23/2016 0:00",33602,"3/23/2016 16:51"
"233","3/8/2016 13:55",800,1,6,2002,0,115,"mondeo",150000,12,"1",35,NA,"3/8/2016 0:00",34253,"3/10/2016 8:17"
"235","3/5/2016 15:55",2800,1,8,2004,0,75,"golf",100000,9,"0",40,1,"3/5/2016 0:00",6295,"3/16/2016 6:45"
"239","3/12/2016 8:51",1000,1,2,1982,0,41,"1",150000,11,"0",17,NA,"3/12/2016 0:00",56337,"3/13/2016 0:45"
"249","4/1/2016 19:58",2700,1,7,2006,0,75,"clio",125000,6,"0",34,1,"4/1/2016 0:00",34582,"4/5/2016 17:26"
"250","3/10/2016 10:46",800,0,5,2001,1,114,"1",150000,4,"0",28,1,"3/10/2016 0:00",35043,"3/20/2016 15:45"
"251","3/6/2016 18:49",10200,1,3,2008,0,0,"1",90000,6,"0",26,NA,"3/6/2016 0:00",71131,"4/6/2016 22:17"
"257","3/10/2016 15:50",8000,0,8,2006,0,177,"impreza",150000,0,"",10,0,"3/10/2016 0:00",66540,"4/5/2016 13:17"
"267","4/4/2016 21:52",3650,0,4,2004,0,113,"megane",150000,9,"0",34,NA,"4/4/2016 0:00",21739,"4/7/2016 0:45"
"269","4/4/2016 9:49",450,1,NA,2016,0,0,"",150000,3,"0",20,0,"4/4/2016 0:00",59302,"4/6/2016 11:17"
"272","4/3/2016 2:57",3900,1,6,2003,0,131,"passat",150000,4,"0",40,0,"4/3/2016 0:00",39218,"4/7/2016 9:44"
"273","3/29/2016 22:50",26999,0,5,2013,1,140,"transporter",80000,10,"1",40,0,"3/29/2016 0:00",83684,"4/6/2016 11:47"
"274","3/9/2016 10:51",750,1,6,2000,0,101,"passat",150000,3,"0",40,0,"3/9/2016 0:00",23758,"3/9/2016 11:41"
"275","3/11/2016 0:55",5900,0,8,1999,1,184,"7er",150000,10,"1",30,0,"3/10/2016 0:00",9405,"4/5/2016 23:46"
"276","4/4/2016 23:48",56900,1,8,2015,1,326,"a6",5000,7,"1",36,0,"4/4/2016 0:00",45525,"4/7/2016 4:16"
"280","3/12/2016 7:26",1,0,8,1990,0,90,"80",70000,6,"0",36,0,"3/11/2016 0:00",55122,"3/26/2016 23:15"
"284","3/28/2016 18:38",14900,1,4,2004,0,170,"z_reihe",70000,6,"0",30,0,"3/28/2016 0:00",16321,"4/7/2016 0:17"
"285","3/12/2016 16:44",2950,1,8,1998,1,235,"5er",150000,5,"0",30,0,"3/12/2016 0:00",97332,"3/19/2016 19:16"
"294","3/24/2016 11:48",150,0,NA,2016,1,75,"fiesta",50000,1,"0",35,1,"3/24/2016 0:00",32457,"3/30/2016 11:48"
"297","3/31/2016 15:48",11550,1,3,2009,1,140,"passat",125000,12,"1",40,0,"3/31/2016 0:00",26931,"3/31/2016 15:48"
"298","3/20/2016 10:44",1250,1,NA,2017,NA,0,"espace",150000,8,"0",34,NA,"3/20/2016 0:00",63073,"3/22/2016 16:21"
"304","4/1/2016 0:51",2000,0,8,2004,0,122,"6_reihe",5000,7,"1",28,0,"3/31/2016 0:00",54558,"4/5/2016 0:44"
"306","3/18/2016 21:37",890,1,8,2000,0,107,"megane",150000,6,"0",34,1,"3/18/2016 0:00",41065,"3/18/2016 21:37"
"314","3/20/2016 14:56",2650,0,8,2004,0,125,"astra",150000,6,"0",38,0,"3/20/2016 0:00",96528,"3/20/2016 14:56"
"319","3/21/2016 14:38",200,1,NA,2009,NA,0,"",10000,0,"",24,NA,"3/21/2016 0:00",6493,"3/24/2016 2:47"
"321","3/13/2016 13:38",1600,0,6,1999,0,0,"",150000,6,"0",30,0,"3/13/2016 0:00",41199,"3/28/2016 12:46"
"325","4/1/2016 19:54",7950,1,8,2008,0,140,"a3",150000,10,"1",36,0,"4/1/2016 0:00",26419,"4/1/2016 19:54"
"334","3/10/2016 17:39",1849,1,7,1999,0,54,"clio",90000,7,"0",34,0,"3/10/2016 0:00",53940,"3/12/2016 22:18"
"335","3/28/2016 14:57",3300,0,7,2006,1,41,"fortwo",125000,8,"1",29,0,"3/28/2016 0:00",33719,"3/30/2016 5:46"
"343","4/2/2016 16:44",1650,1,NA,2017,0,0,"seicento",60000,5,"0",32,0,"4/2/2016 0:00",91315,"4/4/2016 14:16"
"347","3/6/2016 10:06",0,1,NA,2005,NA,0,"polo",150000,0,"0",40,NA,"3/6/2016 0:00",35392,"3/7/2016 19:12"
"349","3/31/2016 14:53",1200,1,6,1999,1,125,"c_klasse",150000,2,"1",37,0,"3/31/2016 0:00",53123,"4/6/2016 8:17"
"367","3/30/2016 7:54",9999,1,7,2014,0,90,"corsa",20000,9,"0",38,0,"3/30/2016 0:00",55294,"4/6/2016 23:46"
"369","3/31/2016 19:50",500,1,6,2001,0,131,"mondeo",150000,12,"1",35,0,"3/31/2016 0:00",66117,"4/6/2016 14:17"
"370","3/29/2016 16:36",699,1,8,1992,0,66,"golf",150000,10,"2",40,0,"3/29/2016 0:00",67065,"4/6/2016 2:15"
"383","3/26/2016 22:56",3400,0,7,2006,0,54,"fox",70000,6,"0",40,0,"3/26/2016 0:00",33790,"4/7/2016 1:46"
"384","3/28/2016 14:53",1100,0,7,2002,0,58,"twingo",150000,5,"0",34,0,"3/28/2016 0:00",44623,"4/6/2016 19:16"
"385","3/25/2016 15:51",1750,0,8,2002,0,125,"vectra",150000,4,"1",38,0,"3/25/2016 0:00",73431,"4/6/2016 20:16"
"391","3/31/2016 21:59",21500,0,2,2007,1,510,"m_klasse",150000,4,"2",37,0,"3/31/2016 0:00",33178,"4/6/2016 17:45"
"392","3/23/2016 9:54",7000,0,8,2007,0,143,"1er",150000,9,"0",30,0,"3/23/2016 0:00",85375,"3/29/2016 2:16"
"398","3/11/2016 18:38",2950,0,7,2004,0,54,"polo",90000,12,"0",40,NA,"3/11/2016 0:00",41812,"3/12/2016 23:16"
"405","3/12/2016 16:56",3400,1,NA,2018,NA,0,"astra",150000,8,"0",38,0,"3/12/2016 0:00",44789,"3/23/2016 8:47"
"407","3/25/2016 18:56",2350,0,NA,2006,NA,0,"c1",5000,0,"1",27,NA,"3/25/2016 0:00",26123,"4/7/2016 0:46"
"419","3/29/2016 13:56",1999,1,7,2003,0,65,"micra",80000,6,"0",26,0,"3/29/2016 0:00",70376,"3/29/2016 13:56"
"424","3/8/2016 23:53",4500,1,NA,2016,NA,0,"fox",60000,10,"",40,NA,"3/8/2016 0:00",41466,"4/6/2016 23:17"
"426","4/4/2016 12:43",15500,1,2,2008,1,239,"touareg",150000,4,"1",40,0,"4/4/2016 0:00",45355,"4/6/2016 13:44"
"428","3/26/2016 21:49",13950,1,1,2011,0,140,"",60000,11,"1",15,0,"3/26/2016 0:00",86830,"4/6/2016 14:15"
"434","4/4/2016 13:48",1490,1,8,1992,1,136,"e_klasse",150000,2,"0",37,0,"4/4/2016 0:00",13349,"4/6/2016 15:16"
"438","3/21/2016 7:37",3200,1,4,2001,0,150,"spider",150000,6,"",15,NA,"3/21/2016 0:00",24939,"3/31/2016 8:18"
"439","3/29/2016 17:56",4000,1,8,2004,0,203,"1",150000,9,"2",18,0,"3/29/2016 0:00",23558,"4/6/2016 3:45"
"440","3/13/2016 22:46",6450,1,6,2006,0,150,"megane",125000,9,"1",34,0,"3/13/2016 0:00",25715,"4/6/2016 19:17"
"455","3/8/2016 19:55",1490,0,7,2007,0,58,"cuore",150000,3,"0",9,0,"3/8/2016 0:00",44145,"3/12/2016 21:44"
"461","4/2/2016 16:30",750,1,5,1999,0,101,"1",150000,12,"0",28,0,"4/2/2016 0:00",55128,"4/2/2016 17:45"
"463","4/1/2016 22:51",8500,0,8,2003,0,300,"a4",150000,3,"0",36,0,"4/1/2016 0:00",18573,"4/5/2016 21:45"
"468","3/21/2016 21:46",2238,1,7,2003,0,75,"corsa",125000,5,"0",38,0,"3/21/2016 0:00",1067,"3/24/2016 11:46"
"470","3/26/2016 10:37",3350,0,3,1997,0,170,"3er",150000,11,"0",30,0,"3/26/2016 0:00",83024,"3/26/2016 11:41"
"472","3/19/2016 18:38",14500,0,6,2007,0,140,"a6",100000,3,"1",36,0,"3/19/2016 0:00",94060,"4/7/2016 5:17"
"473","3/12/2016 12:06",4199,1,7,2002,0,75,"a2",150000,1,"0",36,0,"3/12/2016 0:00",56235,"4/6/2016 17:16"
"474","3/29/2016 15:38",6999,1,7,2009,0,85,"ibiza",30000,4,"0",31,0,"3/29/2016 0:00",1744,"4/6/2016 1:15"
"479","3/23/2016 10:50",8100,1,6,2004,1,150,"e_klasse",150000,3,"1",37,0,"3/23/2016 0:00",76872,"4/7/2016 12:16"
"482","3/14/2016 1:39",5250,1,NA,2017,0,84,"ibiza",70000,4,"",31,0,"3/13/2016 0:00",99762,"3/14/2016 6:42"
"484","4/4/2016 9:57",1950,1,NA,2016,0,0,"2_reihe",150000,10,"0",33,0,"4/4/2016 0:00",44141,"4/6/2016 11:44"
"487","3/10/2016 12:54",4300,0,8,2007,0,90,"golf",150000,2,"1",40,0,"3/10/2016 0:00",60486,"3/16/2016 8:17"
"502","3/23/2016 10:54",5300,1,3,1999,0,179,"tt",125000,3,"0",36,0,"3/23/2016 0:00",55450,"4/7/2016 11:16"
"513","3/26/2016 13:38",7900,1,8,2009,0,170,"a3",150000,6,"1",36,0,"3/26/2016 0:00",32839,"3/29/2016 15:45"
"514","4/4/2016 21:41",4290,0,4,2006,0,109,"2_reihe",90000,4,"0",33,NA,"4/4/2016 0:00",22549,"4/7/2016 0:15"
"516","3/24/2016 18:50",3299,0,6,2002,0,143,"3er",150000,9,"0",30,0,"3/24/2016 0:00",8060,"4/7/2016 13:15"
"520","4/3/2016 18:06",1600,0,6,1999,0,75,"astra",150000,3,"0",38,0,"4/3/2016 0:00",65474,"4/7/2016 2:17"
"523","3/23/2016 15:42",27500,0,3,2010,1,204,"1",100000,11,"1",36,0,"3/23/2016 0:00",49406,"3/23/2016 15:42"
"525","3/29/2016 13:53",899,1,NA,2018,1,101,"3_reihe",150000,6,"",33,0,"3/29/2016 0:00",34359,"4/5/2016 23:47"
"527","3/8/2016 16:56",2390,0,7,2007,0,54,"1",125000,8,"0",40,0,"3/8/2016 0:00",45326,"3/10/2016 12:16"
"528","3/14/2016 20:55",9900,1,8,2008,1,170,"3er",125000,11,"0",30,1,"3/14/2016 0:00",46047,"3/22/2016 18:16"
"531","3/9/2016 23:52",3600,0,5,2003,0,131,"sharan",150000,12,"1",40,0,"3/9/2016 0:00",50354,"3/11/2016 17:15"
"539","3/14/2016 7:00",2700,1,NA,2018,1,0,"e_klasse",150000,8,"1",37,NA,"3/14/2016 0:00",9113,"3/26/2016 1:15"
"546","3/25/2016 22:53",0,1,NA,2005,0,136,"",100000,10,"",25,NA,"3/25/2016 0:00",86163,"3/26/2016 7:44"
"548","3/22/2016 11:52",2700,1,7,2003,0,75,"corsa",125000,2,"0",38,0,"3/22/2016 0:00",34369,"4/6/2016 0:46"
"549","4/2/2016 21:43",4990,0,5,2007,0,69,"roomster",60000,10,"0",30,0,"4/2/2016 0:00",52080,"4/2/2016 21:43"
"555","3/7/2016 7:55",4600,0,NA,2017,1,184,"3er",150000,5,"",30,NA,"3/7/2016 0:00",57334,"3/11/2016 0:17"
"563","3/6/2016 21:36",3999,1,8,2003,0,102,"passat",150000,4,"2",40,0,"3/6/2016 0:00",27711,"4/7/2016 2:44"
"564","3/15/2016 17:43",2600,1,NA,2005,NA,0,"",125000,0,"",14,NA,"3/15/2016 0:00",94315,"4/6/2016 14:45"
"575","3/26/2016 8:53",11800,0,6,2006,0,170,"a3",150000,7,"1",36,0,"3/26/2016 0:00",82541,"4/5/2016 21:17"
"577","3/7/2016 11:38",3500,0,6,2000,1,143,"e_klasse",150000,2,"1",37,0,"3/7/2016 0:00",38518,"4/7/2016 6:17"
"586","3/8/2016 7:56",4999,0,3,1999,0,180,"tt",150000,1,"0",36,0,"3/8/2016 0:00",12307,"4/6/2016 8:46"
"588","3/23/2016 0:55",8200,0,7,2006,0,0,"cooper",90000,4,"0",22,0,"3/22/2016 0:00",81667,"4/7/2016 5:45"
"604","3/20/2016 16:44",4000,0,5,2001,0,115,"sharan",150000,0,"1",40,0,"3/20/2016 0:00",26603,"3/27/2016 4:44"
"606","4/1/2016 18:53",3200,1,7,2005,NA,0,"a4",150000,0,"1",36,NA,"4/1/2016 0:00",60314,"4/1/2016 18:53"
"607","3/14/2016 17:50",1990,0,5,2003,0,90,"1",150000,10,"1",35,0,"3/1/2016 0:00",82467,"3/21/2016 10:45"
"633","3/9/2016 14:52",1500,0,7,1996,NA,0,"golf",80000,2,"0",40,NA,"3/9/2016 0:00",7987,"3/17/2016 14:17"
"639","4/4/2016 14:53",1899,0,7,1999,0,0,"lupo",90000,7,"",40,0,"4/4/2016 0:00",17506,"4/6/2016 16:17"
"646","3/18/2016 15:36",2999,1,8,1999,1,105,"3er",150000,8,"",30,0,"3/18/2016 0:00",25335,"3/22/2016 10:47"
"652","3/7/2016 23:56",970,0,8,2001,0,88,"1",150000,1,"0",18,NA,"3/7/2016 0:00",13088,"3/8/2016 6:42"
"653","3/18/2016 14:07",1599,0,6,1999,0,90,"focus",150000,3,"1",35,0,"3/18/2016 0:00",56479,"4/7/2016 10:17"
"654","3/22/2016 9:51",750,0,5,1994,0,107,"espace",150000,5,"0",34,0,"3/22/2016 0:00",86551,"4/5/2016 21:48"
"661","3/12/2016 22:57",1850,1,7,2003,0,0,"1",100000,1,"0",33,NA,"3/12/2016 0:00",66809,"4/6/2016 11:15"
"669","3/28/2016 14:57",5000,0,6,2008,1,136,"focus",150000,6,"1",35,0,"3/28/2016 0:00",45355,"3/31/2016 23:46"
"672","3/14/2016 14:46",14750,1,6,2009,0,160,"a4",90000,2,"0",36,0,"3/14/2016 0:00",91361,"3/18/2016 1:45"
"677","3/10/2016 18:06",15500,1,6,2012,0,120,"exeo",40000,12,"1",31,0,"3/10/2016 0:00",57520,"4/1/2016 2:17"
"678","3/7/2016 9:52",1900,1,8,2000,0,125,"",150000,5,"0",20,0,"3/7/2016 0:00",14943,"3/8/2016 15:44"
"705","3/9/2016 21:52",4000,0,2,1999,0,120,"1",150000,2,"0",26,0,"3/9/2016 0:00",99439,"4/6/2016 0:15"
"717","3/30/2016 17:44",2500,1,8,1999,0,170,"5er",150000,9,"0",30,0,"3/30/2016 0:00",94533,"4/7/2016 8:17"
"723","3/24/2016 10:50",2999,0,8,2000,1,122,"c_klasse",150000,10,"0",37,0,"3/24/2016 0:00",13051,"4/7/2016 1:46"
"725","3/11/2016 18:00",1100,1,NA,2017,NA,0,"a3",150000,5,"",36,NA,"3/11/2016 0:00",75382,"3/12/2016 8:16"
"732","3/26/2016 10:50",2100,0,7,2004,0,65,"micra",150000,1,"0",26,0,"3/26/2016 0:00",10555,"3/26/2016 11:41"
"741","3/9/2016 21:47",11540,0,3,2010,0,122,"scirocco",80000,6,"0",40,0,"3/9/2016 0:00",95666,"4/5/2016 23:46"
"762","3/20/2016 11:53",5500,0,8,2003,1,163,"a4",150000,11,"0",36,0,"3/20/2016 0:00",97450,"3/26/2016 20:16"
"763","4/5/2016 20:25",5000,1,8,2006,0,185,"159",125000,12,"",15,0,"4/5/2016 0:00",56070,"4/5/2016 20:25"
"766","3/15/2016 10:37",1800,1,8,1994,0,102,"3er",150000,10,"0",30,0,"3/15/2016 0:00",45326,"4/5/2016 20:46"
"769","3/26/2016 12:47",37990,1,5,2012,0,0,"transporter",50000,6,"1",40,0,"3/26/2016 0:00",25421,"4/6/2016 0:44"
"770","3/22/2016 1:53",3800,0,5,2000,0,122,"vito",150000,5,"1",37,1,"3/21/2016 0:00",45470,"4/3/2016 14:19"
"771","3/31/2016 0:28",1290,1,5,2001,0,101,"transit",5000,6,"1",35,NA,"3/29/2016 0:00",35435,"4/2/2016 21:11"
"773","3/23/2016 14:39",10999,0,7,2011,0,117,"juke",60000,3,"0",26,0,"3/23/2016 0:00",71134,"4/5/2016 15:18"
"775","3/14/2016 18:30",2000,1,8,1997,0,193,"a4",150000,2,"2",36,0,"3/14/2016 0:00",65474,"3/28/2016 8:46"
"778","4/3/2016 10:56",5300,1,5,2007,0,95,"b_klasse",150000,3,"0",37,0,"4/3/2016 0:00",18109,"4/5/2016 9:51"
"782","3/6/2016 11:38",3850,0,4,2001,0,141,"1",150000,6,"0",12,0,"3/6/2016 0:00",13055,"4/6/2016 11:36"
"789","3/15/2016 0:52",8400,0,NA,2009,0,0,"qashqai",150000,0,"1",26,NA,"3/14/2016 0:00",32425,"3/15/2016 7:41"
"790","3/29/2016 23:53",7490,1,7,2009,0,105,"fabia",70000,10,"1",30,0,"3/29/2016 0:00",71638,"4/1/2016 1:15"
"802","3/28/2016 14:51",15900,0,5,2011,1,140,"galaxy",125000,4,"1",35,0,"3/28/2016 0:00",68307,"3/31/2016 23:16"
"805","3/19/2016 15:54",7990,1,6,2005,0,200,"a3",150000,8,"0",36,0,"3/19/2016 0:00",86706,"4/7/2016 0:46"
"809","3/27/2016 6:36",4699,1,8,2006,0,109,"c4",100000,3,"0",27,0,"3/27/2016 0:00",61250,"4/1/2016 4:45"
"811","3/24/2016 18:38",3500,0,NA,2016,0,64,"polo",100000,9,"0",40,0,"3/24/2016 0:00",52353,"4/1/2016 15:15"
"813","3/30/2016 17:36",2200,1,5,2003,0,113,"scenic",150000,0,"0",34,0,"3/30/2016 0:00",37574,"3/30/2016 17:36"
"814","3/8/2016 17:39",999,1,8,1999,0,75,"golf",150000,4,"0",40,1,"3/8/2016 0:00",53474,"4/7/2016 6:15"
"820","3/29/2016 18:53",5250,1,4,1996,1,193,"3er",150000,4,"0",30,0,"3/29/2016 0:00",59077,"4/2/2016 7:16"
"827","3/9/2016 13:54",9600,1,6,2008,0,177,"5er",150000,7,"1",30,0,"3/9/2016 0:00",46395,"3/17/2016 10:46"
"832","3/25/2016 19:47",7600,0,3,2006,0,122,"c_klasse",125000,6,"0",37,0,"3/25/2016 0:00",34454,"4/7/2016 2:15"
"840","3/10/2016 20:46",2799,0,7,2001,0,75,"polo",90000,12,"0",40,0,"3/10/2016 0:00",25421,"3/20/2016 11:16"
"849","3/18/2016 1:57",12800,1,6,1999,0,265,"1",100000,3,"0",36,0,"3/18/2016 0:00",14979,"4/5/2016 21:18"
"851","3/5/2016 20:36",2700,1,8,2001,0,170,"3er",150000,3,"0",30,0,"3/5/2016 0:00",91522,"3/15/2016 9:46"
"852","3/23/2016 19:00",6999,0,3,2001,0,265,"astra",150000,4,"0",38,0,"3/23/2016 0:00",29664,"4/5/2016 23:45"
"861","3/11/2016 12:54",1670,0,8,1999,0,75,"golf",150000,8,"0",40,0,"3/11/2016 0:00",52388,"3/23/2016 3:19"
"863","3/17/2016 20:58",5299,1,7,2005,0,90,"one",150000,5,"0",22,0,"3/17/2016 0:00",53797,"4/7/2016 10:15"
"864","3/5/2016 14:43",0,1,NA,2017,0,105,"golf",150000,0,"0",40,NA,"3/5/2016 0:00",39218,"3/6/2016 3:46"
"867","3/22/2016 17:53",4200,1,8,2000,0,163,"c_klasse",100000,6,"0",37,0,"3/22/2016 0:00",35394,"4/7/2016 7:46"
"872","3/6/2016 16:48",600,0,NA,2000,0,86,"lanos",125000,0,"0",5,0,"3/6/2016 0:00",18181,"3/25/2016 17:17"
"875","4/4/2016 21:54",2410,0,7,2004,0,69,"fiesta",150000,3,"0",35,0,"4/4/2016 0:00",33442,"4/7/2016 0:45"
"888","3/12/2016 15:49",7500,1,8,2008,1,143,"1er",150000,10,"1",30,0,"3/12/2016 0:00",12437,"4/5/2016 1:18"
"890","3/21/2016 16:47",899,1,8,2000,0,60,"ibiza",150000,7,"0",31,0,"3/21/2016 0:00",37688,"3/31/2016 21:16"
"897","4/5/2016 9:54",250,1,8,1995,0,75,"cordoba",150000,8,"0",31,0,"4/5/2016 0:00",98593,"4/7/2016 13:16"
"900","3/19/2016 8:37",1499,0,7,1999,1,90,"clio",150000,6,"0",34,0,"3/19/2016 0:00",69181,"3/20/2016 11:17"
"904","3/10/2016 7:36",5900,1,6,2004,1,218,"5er",150000,10,"1",30,0,"3/10/2016 0:00",15366,"3/20/2016 9:47"
"907","3/6/2016 12:51",2000,0,7,2002,0,68,"fiesta",150000,12,"1",35,0,"3/6/2016 0:00",85774,"3/6/2016 12:51"
"908","3/22/2016 16:57",300,0,NA,2016,0,140,"",150000,0,"0",30,NA,"3/22/2016 0:00",57489,"3/26/2016 18:18"
"914","3/28/2016 19:52",1250,1,4,1995,0,50,"swift",50000,6,"0",17,0,"3/28/2016 0:00",3130,"4/7/2016 2:17"
"917","4/3/2016 13:56",2998,1,3,2000,0,170,"1",150000,12,"0",35,0,"4/3/2016 0:00",99974,"4/5/2016 12:46"
"921","4/1/2016 17:47",4499,0,8,2004,1,122,"e_klasse",150000,12,"1",37,0,"4/1/2016 0:00",48147,"4/3/2016 14:18"
